Radiation-Temp,Wrist_Skin_Temperature,GSR,Ambient_Temperature,Ambient_Humidity,Label
20.18,30.02,0.06,22.6,33.2,1
19.68,29.65,0.21,20.5,30.5,-2
20.3,30.12,0.03,23.1,33.9,2
19.82,29.78,0.17,21.0,31.8,-1
20.0,29.95,0.11,21.8,32.6,0
19.75,29.72,0.23,20.7,31.0,-2
20.22,30.06,0.05,22.7,33.4,1
19.92,29.9,0.13,21.6,32.2,-1
19.7,29.67,0.19,20.4,30.3,-2
20.38,30.18,0.01,23.2,34.0,2
19.97,29.93,0.14,21.4,31.7,0
20.08,30.0,0.08,22.3,32.9,1
19.8,29.75,0.18,20.9,31.4,-1
20.15,30.04,0.07,22.4,33.0,1
19.63,29.62,0.25,20.5,30.2,-2
20.25,30.1,0.04,22.8,33.7,2
19.87,29.86,0.15,21.1,32.1,-1
20.02,29.97,0.1,22.0,32.7,0
19.77,29.69,0.2,20.6,30.7,-2
20.33,30.14,0.03,23.0,33.5,2
19.93,29.89,0.12,21.5,31.6,-1
20.1,30.01,0.06,22.2,32.5,1
19.71,29.66,0.22,20.7,31.1,-2
20.42,30.17,0.02,23.1,33.8,2
19.98,29.94,0.11,21.9,32.4,0
20.2,30.07,0.05,22.5,33.1,1
19.83,29.77,0.19,21.0,31.3,-1
19.67,29.63,0.24,20.4,30.1,-2
20.27,30.09,0.04,22.9,33.3,2
19.91,29.87,0.16,21.3,32.0,-1
20.06,29.99,0.09,22.1,32.8,0
19.76,29.71,0.21,20.8,30.9,-2
20.37,30.16,0.02,23.0,33.6,2
19.96,29.92,0.13,21.7,32.2,-1
20.13,30.03,0.07,22.4,33.0,1
19.73,29.64,0.23,20.6,30.6,-2
20.45,30.19,0.01,23.2,33.9,2
19.85,29.88,0.12,21.1,32.5,-1
20.35,30.05,0.08,22.8,33.2,1
19.7,29.75,0.18,20.7,31.8,-2
20.1,29.95,0.15,21.5,32.0,-1
20.4,30.12,0.04,23.0,33.8,1
19.8,29.82,0.2,20.9,31.5,-2
20.0,29.9,0.1,21.3,32.7,-1
20.3,30.08,0.06,22.5,33.4,1
19.65,29.7,0.22,20.5,31.0,-2
20.2,30.0,0.14,21.8,32.3,-1
20.45,30.15,0.02,23.1,34.0,1
19.75,29.78,0.16,20.8,31.7,-2
20.05,29.93,0.11,21.4,32.1,-1
20.25,30.03,0.07,22.2,33.0,1
19.9,29.85,0.19,21.0,31.9,-2
20.15,29.98,0.13,21.6,32.4,-1
20.5,30.19,0.01,23.2,33.9,1
19.6,29.65,0.25,20.4,30.5,-2
19.95,29.92,0.09,21.2,32.6,-1
20.1,30.1,0.05,22.4,33.6,1
19.8,29.8,0.17,20.95,31.4,-2
20.0,29.96,0.12,21.7,32.2,-1
20.35,30.07,0.03,22.7,33.5,1
19.7,29.72,0.21,20.6,31.2,-2
20.25,30.02,0.1,21.9,32.8,-1
20.4,30.14,0.02,23.05,33.7,1
19.85,29.9,0.14,21.05,32.5,-1
19.65,29.68,0.23,20.55,30.8,-2
20.3,30.06,0.06,22.6,33.3,1
20.1,29.94,0.11,21.4,32.1,-1
19.95,29.88,0.15,21.15,31.6,-2
20.45,30.18,0.01,23.15,33.95,1
19.75,29.76,0.18,20.75,31.1,-2
20.2,30.01,0.08,22.1,32.9,1
19.9,29.86,0.13,21.25,32.4,-1
20.05,30.0,0.09,21.5,32.2,-1
19.6,29.62,0.24,20.45,30.3,-2
20.5,30.16,0.03,22.95,33.85,1
20.15,29.97,0.1,21.65,32.6,-1
19.8,29.81,0.16,20.85,31.3,-2
20.35,30.1,0.05,22.55,33.1,1
19.95,29.91,0.12,21.35,32.0,-1
20.25,30.04,0.07,22.4,33.2,1
19.7,29.73,0.2,20.65,30.9,-2
20.1,29.99,0.11,21.8,32.5,-1
20.0,29.87,0.14,21.1,31.8,-2
20.4,30.13,0.04,23.0,33.6,1
19.85,29.84,0.17,20.95,31.5,-2
20.15,30.0,0.09,21.7,32.3,-1
19.72,29.92,0.08,21.1,31.5,-1
20.35,30.02,0.15,22.8,33.2,1
19.85,29.78,0.03,20.6,30.8,-2
20.1,29.95,0.12,21.5,32.0,0
19.6,29.61,0.01,20.4,30.0,-2
20.45,30.15,0.22,23.0,33.5,2
19.9,29.88,0.09,21.3,31.8,-1
20.25,30.05,0.18,22.5,32.7,1
19.68,29.7,0.05,20.8,31.0,-2
20.4,30.1,0.2,23.1,34.0,2
19.8,29.85,0.07,21.0,31.4,-1
20.0,29.98,0.14,21.8,32.3,0
19.65,29.65,0.02,20.5,30.5,-2
20.3,30.08,0.17,22.6,33.0,1
19.95,29.9,0.1,21.4,32.1,-1
20.5,30.19,0.25,23.2,33.8,2
19.75,29.75,0.04,20.7,30.6,-2
20.15,30.0,0.16,22.0,32.5,1
19.88,29.82,0.06,21.2,31.7,-1
20.2,30.03,0.19,22.4,32.9,1
19.7,29.68,0.03,20.55,30.4,-2
20.42,30.12,0.23,23.05,33.6,2
19.92,29.93,0.11,21.6,31.9,-1
20.05,29.97,0.13,21.9,32.4,0
19.63,29.63,0.02,20.45,30.2,-2
20.38,30.07,0.21,22.7,33.3,2
19.82,29.8,0.06,20.9,31.3,-1
20.08,29.99,0.15,22.1,32.6,1
19.78,29.72,0.04,20.75,30.7,-2
20.48,30.17,0.24,23.15,33.9,2
19.87,29.87,0.08,21.15,31.6,-1
20.12,30.01,0.17,22.3,32.8,1
19.98,29.96,0.12,21.7,32.2,0
19.67,29.67,0.02,20.48,30.3,-2
20.28,30.06,0.18,22.55,33.1,1
19.83,29.76,0.05,20.85,31.2,-1
20.18,30.04,0.2,22.35,32.85,1
19.73,29.69,0.03,20.58,30.55,-2
20.43,30.14,0.22,22.95,33.7,2
19.91,29.91,0.09,21.25,31.75,-1
20.02,29.94,0.14,21.75,32.15,0
19.62,29.62,0.01,20.42,30.1,-2
20.36,30.09,0.19,22.65,33.15,2
19.86,29.84,0.07,21.05,31.55,-1
20.22,30.11,0.21,22.45,32.95,1
19.77,29.73,0.04,20.65,30.65,-2
20.46,30.16,0.23,23.08,33.75,2
19.93,29.89,0.1,21.35,31.95,-1
20.32,30.13,0.2,22.75,33.05,1
19.96,29.86,0.11,21.45,32.05,-1
19.85,29.75,0.12,21.1,32.5,-1
20.1,29.95,0.08,20.8,33.2,-2
20.3,30.05,0.18,22.4,31.5,1
19.7,29.65,0.15,20.5,30.8,-2
20.15,30.0,0.05,21.6,33.0,-1
19.95,29.85,0.2,21.9,32.1,-1
20.4,30.1,0.1,22.8,31.0,1
19.8,29.7,0.22,20.6,30.5,-2
20.0,29.9,0.03,21.3,32.8,-1
20.25,30.08,0.16,22.1,33.4,-1
19.65,29.62,0.09,20.4,31.2,-2
20.35,30.12,0.14,22.6,30.3,1
19.9,29.8,0.11,21.0,32.0,-1
20.2,30.02,0.07,22.3,33.6,-1
19.75,29.68,0.19,20.7,31.8,-2
20.05,29.92,0.13,21.5,32.4,-1
20.45,30.15,0.06,23.0,30.0,2
19.88,29.78,0.17,21.2,31.6,-1
20.12,29.98,0.04,22.0,33.1,-1
19.68,29.63,0.21,20.45,30.6,-2
20.28,30.07,0.1,22.5,32.7,1
19.92,29.82,0.15,21.4,31.4,-1
20.08,29.93,0.08,21.8,33.8,-1
19.78,29.66,0.23,20.55,30.4,-2
20.32,30.1,0.12,22.7,31.9,1
19.98,29.88,0.18,21.15,32.2,-1
20.18,30.04,0.02,22.2,33.3,-1
19.72,29.64,0.14,20.48,31.0,-2
20.38,30.14,0.09,22.9,30.2,1
19.86,29.76,0.11,20.9,32.6,-2
20.22,30.06,0.05,22.35,33.5,-1
19.82,29.72,0.2,20.65,31.3,-2
20.02,29.91,0.07,21.45,32.3,-1
20.42,30.16,0.16,23.1,30.1,1
19.76,29.67,0.13,20.52,31.7,-2
20.14,29.96,0.19,22.05,33.0,-1
19.88,29.77,0.06,21.05,32.5,-1
20.26,30.09,0.1,22.45,31.1,1
19.7,29.61,0.24,20.42,30.7,-2
20.05,29.94,0.08,21.7,32.9,-1
19.95,29.84,0.17,21.25,33.7,-1
20.4,30.13,0.03,22.65,30.9,1
19.8,29.7,0.22,20.58,31.5,-2
20.1,29.97,0.11,21.95,32.1,-1
19.9,29.79,0.14,21.08,33.2,-1
20.35,30.11,0.06,22.75,30.6,1
19.74,29.65,0.18,20.48,31.8,-2
20.18,30.01,0.09,22.15,32.4,-1
19.98,29.86,0.12,21.35,33.5,-1
20.45,30.18,0.04,23.2,30.3,2
19.85,29.88,0.15,22.1,32.5,-1
20.1,30.02,0.08,21.5,31.8,-1
19.7,29.75,0.18,20.8,33.2,-2
20.3,30.1,0.04,22.7,30.5,0
19.95,29.95,0.12,21.3,32.0,-1
20.4,30.15,0.02,23.0,31.0,1
19.65,29.7,0.22,20.6,33.8,-2
20.0,29.9,0.1,21.8,32.6,-1
20.2,30.05,0.06,22.4,31.4,0
19.8,29.8,0.2,21.0,33.5,-2
20.35,30.12,0.03,22.9,30.8,1
19.9,29.92,0.14,21.6,32.2,-1
19.75,29.78,0.16,20.9,33.0,-2
20.25,30.08,0.05,22.6,31.2,0
20.05,29.98,0.09,21.9,32.4,-1
19.68,29.72,0.24,20.5,33.9,-2
20.45,30.18,0.01,23.1,30.3,1
19.88,29.85,0.11,21.2,32.8,-1
20.15,30.0,0.07,22.3,31.6,0
19.72,29.76,0.19,20.7,33.4,-2
20.28,30.07,0.04,22.8,30.7,1
19.98,29.93,0.13,21.4,32.1,-1
19.63,29.68,0.21,20.4,34.0,-2
20.42,30.16,0.02,23.2,30.0,1
19.82,29.82,0.17,21.1,33.1,-2
20.08,29.96,0.08,22.0,32.3,-1
20.22,30.04,0.05,22.5,31.3,0
19.78,29.79,0.15,20.95,33.3,-2
20.38,30.14,0.03,23.05,30.6,1
19.92,29.91,0.11,21.7,32.8,-1
20.02,29.94,0.09,21.75,31.9,-1
19.67,29.69,0.23,20.45,33.7,-2
20.48,30.19,0.01,23.15,30.2,1
19.96,29.97,0.1,21.55,32.5,-1
20.18,30.01,0.06,22.35,31.5,0
19.73,29.74,0.18,20.65,33.6,-2
20.32,30.11,0.04,22.75,30.9,1
19.86,29.86,0.12,21.25,32.9,-1
20.12,29.99,0.07,22.2,31.7,0
19.77,29.77,0.2,20.85,33.3,-2
20.27,30.06,0.02,22.65,31.1,0
19.91,29.89,0.14,21.65,32.7,-1
19.69,29.71,0.22,20.55,34.0,-2
20.43,30.17,0.01,23.15,30.3,1
19.97,29.94,0.13,21.45,32.4,-1
20.23,30.03,0.05,22.55,31.4,0
19.64,29.67,0.25,20.5,33.8,-2
20.37,30.13,0.03,22.95,30.7,1
19.94,29.9,0.1,21.5,32.2,-1
20.06,29.96,0.08,22.1,31.8,-1
19.72,29.88,0.15,21.1,32.5,-1
20.35,30.02,0.08,22.8,31.2,-1
19.68,29.72,0.21,20.7,33.8,-2
20.42,30.15,0.03,23.0,30.5,1
19.85,29.91,0.18,21.5,32.0,-1
20.1,30.05,0.06,22.4,31.8,-1
19.61,29.65,0.24,20.5,34.0,-2
20.48,30.18,0.02,23.2,30.1,1
19.78,29.85,0.12,21.3,32.7,-1
20.25,29.98,0.1,22.1,31.5,-1
19.63,29.68,0.2,20.4,33.5,-2
20.38,30.12,0.04,22.9,30.3,1
19.9,29.94,0.14,21.7,32.3,-1
20.15,30.08,0.07,22.5,31.0,-1
19.7,29.75,0.22,20.8,33.2,-2
20.45,30.16,0.01,23.1,30.0,1
19.82,29.89,0.16,21.4,32.8,-1
20.2,30.01,0.09,22.3,31.6,-1
19.65,29.7,0.23,20.6,33.9,-2
20.4,30.14,0.05,22.7,30.4,1
19.95,29.96,0.13,21.8,32.1,-1
20.3,30.1,0.11,22.6,31.3,-1
19.74,29.8,0.19,21.0,33.6,-2
20.5,30.19,0.02,23.2,30.2,1
19.88,29.92,0.17,21.6,32.4,-1
20.12,30.04,0.08,22.2,31.7,-1
19.67,29.73,0.25,20.9,34.0,-2
20.36,30.11,0.03,22.8,30.6,1
19.8,29.87,0.15,21.2,32.9,-1
20.22,30.06,0.07,22.4,31.4,-1
19.75,29.82,0.18,21.1,33.3,-2
20.44,30.17,0.01,23.0,30.1,1
19.92,29.95,0.11,21.9,32.2,-1
20.08,30.0,0.09,22.1,31.9,-1
19.69,29.76,0.2,20.7,33.7,-2
20.41,30.13,0.04,22.9,30.3,1
19.87,29.9,0.14,21.5,32.6,-1
20.18,30.07,0.06,22.5,31.2,-1
19.64,29.69,0.22,20.5,33.4,-2
20.46,30.15,0.02,23.1,30.0,1
19.84,29.88,0.16,21.3,32.5,-1
20.28,30.09,0.1,22.7,31.1,-1
19.73,29.78,0.21,20.8,33.1,-2
20.39,30.12,0.05,22.6,30.5,1
19.93,29.93,0.12,21.7,32.3,-1
20.14,30.03,0.07,22.3,31.8,-1
19.71,29.77,0.19,20.9,33.0,-2
20.47,30.18,0.03,23.0,30.2,1
19.86,29.91,0.13,21.4,32.4,-1
20.24,30.05,0.08,22.4,31.5,-1
19.85,29.88,0.12,21.2,32.5,-1
20.12,30.02,0.08,22.4,31.8,-1
19.72,29.75,0.15,20.8,33.2,-2
20.35,30.1,0.04,23.0,30.5,-1
19.95,29.92,0.18,21.5,32.0,-1
19.68,29.7,0.2,20.6,33.8,-2
20.28,30.15,0.06,22.8,31.0,-1
19.8,29.82,0.1,21.0,32.8,-1
20.42,30.18,0.02,23.1,30.2,-1
19.9,29.95,0.14,21.8,31.5,-1
19.65,29.68,0.22,20.5,34.0,-2
20.2,30.08,0.05,22.6,30.8,-1
19.78,29.8,0.16,21.3,33.0,-1
20.45,30.19,0.01,23.2,30.0,-1
19.88,29.9,0.11,21.6,32.3,-1
19.7,29.72,0.19,20.7,33.5,-2
20.3,30.12,0.03,22.9,30.6,-1
19.82,29.85,0.13,21.1,32.6,-1
20.4,30.16,0.07,23.0,31.2,-1
19.92,29.98,0.09,21.9,31.8,-1
19.63,29.65,0.24,20.4,34.0,-2
20.25,30.14,0.05,22.7,30.4,-1
19.75,29.78,0.17,20.9,33.3,-2
20.38,30.17,0.02,23.1,30.1,-1
19.86,29.87,0.11,21.4,32.2,-1
19.67,29.69,0.21,20.6,33.7,-2
20.32,30.13,0.04,22.8,30.7,-1
19.83,29.84,0.14,21.2,32.7,-1
20.43,30.19,0.01,23.2,30.0,-1
19.91,29.94,0.08,21.7,31.6,-1
19.64,29.66,0.23,20.5,33.9,-2
20.22,30.09,0.06,22.6,30.9,-1
19.76,29.79,0.18,21.0,33.1,-1
20.48,30.18,0.03,23.0,30.3,-1
19.87,29.89,0.1,21.5,32.4,-1
19.69,29.71,0.2,20.7,33.6,-2
20.34,30.15,0.02,22.9,30.5,-1
19.81,29.83,0.15,21.1,32.9,-1
20.41,30.17,0.05,23.1,31.1,-1
19.93,29.97,0.07,21.8,31.7,-1
19.62,29.64,0.25,20.4,34.0,-2
20.27,30.11,0.04,22.7,30.6,-1
19.73,29.76,0.19,20.8,33.4,-2
20.37,30.16,0.03,23.0,30.2,-1
19.84,29.86,0.12,21.3,32.5,-1
19.66,29.67,0.22,20.6,33.8,-2
20.31,30.14,0.01,22.8,30.4,-1
19.89,29.91,0.09,21.6,32.1,-1
20.46,30.19,0.02,23.2,30.0,-1
19.89,29.9,0.12,21.2,32.1,-1
20.1,29.85,0.08,20.8,31.5,-2
19.72,29.78,0.15,20.6,30.8,-2
20.3,30.05,0.1,22.4,33.2,1
19.95,29.92,0.18,21.5,32.0,-1
20.4,30.1,0.05,22.8,33.6,1
19.68,29.7,0.2,20.5,31.0,-2
20.0,29.98,0.14,21.8,32.5,-1
20.2,30.0,0.07,22.1,32.8,0
19.8,29.82,0.22,20.9,31.2,-2
20.35,30.08,0.03,23.0,33.9,1
19.9,29.88,0.16,21.3,31.8,-1
19.75,29.75,0.11,20.7,30.5,-2
20.25,30.03,0.09,22.5,33.3,0
20.05,29.95,0.13,21.6,32.2,-1
19.85,29.8,0.19,21.0,31.4,-2
20.45,30.15,0.02,23.1,34.0,1
19.92,29.93,0.17,21.4,32.3,-1
19.7,29.72,0.21,20.45,30.3,-2
20.15,30.02,0.06,22.3,33.0,0
20.0,29.97,0.1,21.9,32.6,-1
19.78,29.76,0.23,20.55,30.7,-2
20.38,30.12,0.04,22.9,33.7,1
19.88,29.87,0.14,21.1,31.6,-1
20.22,30.06,0.08,22.6,33.4,1
19.96,29.91,0.11,21.7,32.4,-1
19.65,29.68,0.24,20.4,30.0,-2
20.28,30.07,0.05,22.7,33.5,0
19.82,29.83,0.18,20.95,31.1,-2
20.12,30.01,0.09,22.0,32.9,0
19.98,29.94,0.15,21.5,32.1,-1
19.73,29.73,0.2,20.65,30.6,-2
20.42,30.14,0.03,23.2,33.8,1
19.87,29.86,0.13,21.25,31.7,-1
20.18,30.04,0.07,22.2,33.1,1
19.77,29.77,0.22,20.75,30.9,-2
20.08,29.99,0.1,21.8,32.7,-1
19.91,29.89,0.16,21.15,31.3,-2
20.33,30.11,0.04,22.85,33.55,1
19.84,29.81,0.19,20.85,31.15,-2
20.02,29.96,0.12,21.95,32.5,-1
19.69,29.71,0.25,20.48,30.2,-2
20.27,30.09,0.06,22.55,33.25,0
19.93,29.9,0.11,21.35,31.9,-1
20.48,30.18,0.01,23.15,33.95,1
19.79,29.79,0.17,20.7,30.4,-2
20.14,30.0,0.08,22.15,32.8,0
19.97,29.93,0.14,21.6,32.2,-1
20.23,30.05,0.05,22.45,33.15,1
19.86,29.84,0.2,21.05,31.55,-2
19.85,29.95,0.15,21.5,32.0,-1
20.1,30.05,0.08,22.3,33.5,1
19.7,29.75,0.12,20.8,31.2,-2
20.3,30.1,0.18,22.8,32.8,2
19.9,29.9,0.05,21.2,30.5,-1
19.95,29.85,0.2,21.0,33.0,-1
20.15,30.15,0.1,22.5,31.5,1
19.65,29.7,0.22,20.6,32.5,-2
20.4,30.18,0.03,23.0,34.0,2
19.8,29.8,0.14,21.3,31.8,-1
20.0,30.0,0.07,21.8,33.2,0
19.75,29.65,0.25,20.5,30.8,-2
20.25,30.08,0.16,22.6,32.1,1
19.88,29.88,0.09,21.1,31.0,-1
20.35,30.12,0.11,23.1,33.8,2
19.92,29.92,0.04,21.4,32.6,-1
20.05,30.02,0.19,22.0,30.3,0
19.68,29.68,0.13,20.7,31.4,-2
20.2,30.06,0.06,22.7,33.6,1
19.82,29.82,0.21,21.6,32.2,-1
19.98,29.98,0.02,21.9,31.7,-1
20.45,30.19,0.17,23.2,33.9,2
19.72,29.72,0.23,20.9,30.6,-2
20.08,30.04,0.01,22.2,32.9,1
19.87,29.87,0.11,21.05,33.1,-1
20.12,30.1,0.14,22.4,31.1,1
19.6,29.61,0.24,20.4,30.0,-2
20.28,30.14,0.08,22.9,34.0,2
19.78,29.78,0.18,21.15,32.4,-1
20.02,30.0,0.05,21.7,33.3,0
19.95,29.95,0.1,21.45,31.9,-1
20.18,30.08,0.15,22.55,32.7,1
19.63,29.63,0.07,20.65,30.4,-2
20.38,30.16,0.2,23.05,33.7,2
19.85,29.85,0.03,21.35,31.6,-1
20.22,30.12,0.12,22.65,33.4,1
19.9,29.9,0.22,21.25,32.1,-1
20.5,30.19,0.09,23.15,34.0,2
19.7,29.7,0.16,20.75,30.7,-2
20.1,30.05,0.04,22.1,32.3,0
19.8,29.8,0.19,21.55,33.5,-1
20.32,30.18,0.01,22.85,31.4,1
19.88,29.88,0.13,20.95,30.9,-2
20.15,30.1,0.06,22.4,33.1,1
19.75,29.75,0.11,21.65,32.5,-1
20.42,30.15,0.17,23.0,34.0,2
19.92,29.92,0.08,21.1,31.8,-1
20.0,29.98,0.14,22.15,32.8,0
19.65,29.65,0.21,20.55,30.2,-2
19.87,29.95,0.14,21.5,32.1,-1
20.35,30.05,0.08,22.8,31.5,1
19.72,29.8,0.18,20.9,33.2,-2
20.1,30.0,0.05,22.1,32.8,0
19.95,29.88,0.2,21.3,31.9,-1
20.4,30.12,0.03,23.0,30.8,2
19.65,29.75,0.22,20.6,33.8,-2
20.25,30.08,0.1,22.5,31.2,1
19.8,29.9,0.16,21.0,32.5,-1
20.15,29.98,0.12,21.8,33.0,0
19.7,29.7,0.24,20.5,34.0,-2
20.45,30.18,0.02,23.2,30.0,2
20.0,29.92,0.15,21.6,32.3,-1
19.9,29.85,0.19,20.8,33.5,-2
20.3,30.1,0.06,22.7,31.6,1
19.78,29.78,0.21,20.7,33.1,-2
20.2,30.02,0.09,22.3,32.0,1
19.82,29.82,0.17,21.1,32.7,-1
20.05,29.96,0.11,21.9,31.8,0
19.6,29.65,0.25,20.4,33.9,-2
20.5,30.15,0.01,23.1,30.5,2
19.93,29.88,0.13,21.4,32.4,-1
20.08,30.0,0.07,22.0,31.4,0
19.68,29.72,0.23,20.55,33.6,-2
20.38,30.14,0.04,22.9,30.3,2
19.85,29.8,0.18,21.2,32.6,-1
20.12,30.04,0.08,22.4,31.1,1
19.75,29.68,0.2,20.45,33.7,-2
20.28,30.06,0.05,22.6,30.9,1
19.98,29.94,0.14,21.7,32.2,-1
20.02,30.0,0.1,22.0,31.7,0
19.62,29.62,0.22,20.48,33.8,-2
20.42,30.16,0.02,23.05,30.2,2
19.88,29.84,0.16,21.05,32.9,-1
20.18,30.08,0.06,22.5,31.3,1
19.73,29.74,0.19,20.6,33.4,-2
20.35,30.1,0.04,22.8,30.6,2
19.92,29.9,0.12,21.5,32.1,-1
20.05,29.98,0.09,21.9,31.5,0
19.66,29.66,0.24,20.42,33.9,-2
20.48,30.19,0.01,23.15,30.1,2
19.96,29.86,0.17,21.35,32.5,-1
20.22,30.02,0.07,22.3,31.0,1
19.7,29.7,0.21,20.5,33.3,-2
20.3,30.12,0.03,22.7,30.4,2
19.84,29.78,0.15,21.15,32.8,-1
20.1,30.0,0.11,22.1,31.8,0
19.63,29.64,0.23,20.44,33.5,-2
20.4,30.18,0.02,23.0,30.7,2
19.9,29.82,0.18,21.25,32.6,-1
19.85,29.75,0.08,20.6,31.2,-2
19.92,29.82,0.12,20.8,32.5,-2
19.78,29.68,0.05,20.5,30.8,-2
19.95,29.9,0.1,21.0,33.0,-2
19.8,29.72,0.07,20.7,31.5,-2
19.88,29.78,0.09,20.9,32.0,-2
19.75,29.65,0.04,20.4,30.5,-2
19.9,29.85,0.11,21.1,32.8,-2
19.82,29.7,0.06,20.55,31.0,-2
19.96,29.92,0.13,21.2,33.2,-2
19.84,29.74,0.08,20.65,31.3,-2
19.91,29.8,0.1,20.95,32.4,-2
19.77,29.67,0.05,20.45,30.6,-2
19.94,29.88,0.12,21.05,32.9,-2
19.81,29.71,0.06,20.58,31.1,-2
19.87,29.77,0.09,20.85,32.1,-2
19.79,29.69,0.04,20.48,30.7,-2
19.93,29.87,0.11,21.15,33.1,-2
